UrbanZone,County,Population
Rosscahill,Galway,327
Dunleer,Louth,2143
Straffan,Kildare,1158
Foxford,Mayo,1452
Headford,Galway,1235
Newtown,Cork,269
Ballymore Eustace,Kildare,689
Ballaghaderreen,Roscommon,2387
Timoleague,Cork,387
Cloonfad,Roscommon,376
Rockcorry,Monaghan,302
Glenealy,Wicklow,623
Killaloe,Clare,1666
Aglish,Waterford,306
Ballintogher,Sligo,351
Blackwater,Wexford,485
Ballydehob,Cork,345
Clonbullogue,Offaly,401
Rosscarbery,Cork,638
Dublin city and suburbs,Dublin,1263219
Roundwood,Wicklow,907
Fahan,Donegal,589
Ballymacarbry,Waterford,138
Clondrohid,Cork,180
Ballinaclash,Wicklow,309
Wexford,Wexford,21524
Drumconrath,Meath,423
Farran,Cork,326
Rathcoffey,Kildare,371
Kildorrery,Cork,372
Mogeely,Cork,477
Dunboyne,Meath,7155
Bridebridge,Cork,223
Ballincar,Sligo,423
Trim,Meath,9563
Shinrone,Offaly,707
Ardara,Donegal,785
Oola,Limerick,315
Gleneely,Donegal,243
Fethard,Wexford,363
Knocktopher,Kilkenny,174
Bweeng,Cork,728
Tallanstown,Louth,668
Kilfinnane,Limerick,757
Clonmel,Tipperary,18369
Carragh,Kildare,1006
Kilfenora,Clare,152
Frenchpark,Roscommon,572
Dromore West,Sligo,292
An Rinn,Waterford,665
Maigh Cuilinn,Galway,2279
Bellavary,Mayo,191
Cratloe,Clare,899
Silvermines,Tipperary,301
Kinsaley,Dublin,906
Kilberry,Kildare,361
Cloyne,Cork,1967
Blarney,Cork,2779
Glenamaddy,Galway,557
An Charraig,Donegal,308
Kildimo,Limerick,512
Johnstownbridge,Kildare,677
Mountshannon,Clare,209
Ballyknockan,Wicklow,247
Bonniconlon,Mayo,204
Ballymote,Sligo,1711
Kilworth,Cork,1179
Rathangan,Kildare,3263
An Clochán Liath,Donegal,1247
Blacklion,Cavan,175
Feakle,Clare,134
Shanagarry,Cork,700
Ballyboghil,Dublin,855
Glenbeigh,Kerry,426
Stradbally,Laois,500
Rathcormac,Cork,1957
Monivea,Galway,456
Riverstick,Cork,772
Carrowkeel,Donegal,389
Baile Mhic Íre,Cork,366
Kilcoole,Wicklow,4569
Carndonagh,Donegal,2768
Tower,Cork,3300
Holycross,Tipperary,697
Ballitore,Kildare,667
Model Village or Dripsey,Cork,323
Newcastle,Wicklow,351
Bandon,Cork,8196
Woodford,Galway,242
The Ballagh,Wexford,560
Ballyporeen,Tipperary,346
Kilcloon,Meath,469
Kilmallock,Limerick,1761
Bree,Wexford,316
Doirí Beaga,Donegal,794
Cliffony,Sligo,521
New Ross,Wexford,8610
Craughwell,Galway,1034
Kilmeaden,Waterford,334
Killinierin,Wexford,270
Arvagh,Cavan,419
Killurin,Wexford,167
Stoneyford,Kilkenny,185
Tubbercurry,Sligo,2307
Tulla,Clare,697
Castleconnell,Limerick,2488
Robertstown,Kildare,771
Ardfert,Kerry,771
Moate,Westmeath,3013
Donaskeigh,Tipperary,151
Boyle,Roscommon,2915
Cheekpoint,Waterford,242
Croom,Limerick,1240
Roosky,Roscommon,787
Durrow,Laois,946
Palatine,Carlow,276
Kinsealy-Drinan,Dublin,7526
Clonmellon,Westmeath,702
Naul,Dublin,684
Ballinagar,Offaly,321
Tinryland,Carlow,338
Ferns,Wexford,1317
Tullyallen,Louth,1697
Fenit,Kerry,619
Ballyvaughan,Clare,361
Bellanode,Monaghan,433
Bruff,Limerick,887
Kilmaine,Mayo,201
Liscarroll,Cork,245
Clifden,Galway,1259
Mullaghmore,Sligo,172
Ballinabrannagh,Carlow,557
Killumney,Cork,1466
Ballinagh,Cavan,1012
Tullow,Carlow,5138
Prosperous,Kildare,2413
Crossakeel,Meath,218
Templemore,Tipperary,2005
Ballymurn,Wexford,607
Pettigo,Donegal,158
Arklow,Wicklow,13399
Béal An Mhuirthead,Mayo,1042
Ballynacargy,Westmeath,215
Emly,Tipperary,338
Inistioge,Kilkenny,315
Durrus,Cork,381
Doneraile,Cork,857
Freshford,Kilkenny,593
Bun Na Leaca,Donegal,569
