GUID,GEOGID,GEOGDESC,Reference Geography,LEA_GUID,LEA,LEA_ID,LEA_OFFICIAL,LA_GUID,LOCAL_AUTHORITY,LA_CODE,COUNTY,CONTAE,PROVINCE,NUTS3,NUTS3_NAME,NUTS2,NUTS2_NAME,NUTS1,NUTS1_NAME,Population
2ae19629-3ef4-13a3-e055-000001100001,1340413,CORK CITY SOUTH CENTRAL,CSO LEA-2022,2ae19629-3ef4-13a3-e055-000001100001,CORK CITY SOUTH CENTRAL,1340413,Y,2ae19629-1434-13a3-e055-000000000001,CORK CITY COUNCIL,CC,CORK,Corcaigh,Munster,IE053,South-West,IE05,Southern,IE0,Ireland,41000
2ae19629-3ef4-13a3-e055-007589300001,13200402,SLIGO-STRANDHILL,CSO LEA-2022,2ae19629-3ef4-13a3-e055-007589300001,SLIGO-STRANDHILL,13200402,Y,2ae19629-1498-13a3-e055-000000000001,SLIGO COUNTY COUNCIL,SO,SLIGO,Sligeach,Connacht,IE041,Border,IE04,Northern and Western,IE0,Ireland,22932
2ae19629-3f2e-13a3-e055-000000000001,13210402,CARRICK-ON-SUIR,CSO LEA-2022,2ae19629-3f2e-13a3-e055-000000000001,CARRICK-ON-SUIR,13210402,Y,2ae19629-1499-13a3-e055-000000000001,TIPPERARY COUNTY COUNCIL,TY,TIPPERARY,Tiobraid Árann,Munster,IE051,Mid-West,IE05,Southern,IE0,Ireland,20191
2ae19629-3f4b-13a3-e055-000000000001,1360403,LOUGHREA,CSO LEA-2022,2ae19629-3f4b-13a3-e055-000000000001,LOUGHREA,1360403,Y,2ae19629-14a5-13a3-e055-000000000001,GALWAY COUNTY COUNCIL,GY,GALWAY,Gaillimh,Connacht,IE042,West,IE04,Northern and Western,IE0,Ireland,25498
2ae19629-3ef4-13a3-e055-883360000001,1370404,CORCA DHUIBHNE,CSO LEA-2022,2ae19629-3ef4-13a3-e055-883360000001,CORCA DHUIBHNE,1370404,Y,2ae19629-14a6-13a3-e055-000000000001,KERRY COUNTY COUNCIL,KY,KERRY,Ciarraí,Munster,IE053,South-West,IE05,Southern,IE0,Ireland,14971
199ec147-f6f0-4b60-8a67-fae3bd8625f8,13260404,HOWTH-MALAHIDE,CSO LEA-2022,199ec147-f6f0-4b60-8a67-fae3bd8625f8,HOWTH-MALAHIDE,13260404,N,2ae19629-14a0-13a3-e055-000000000001,FINGAL COUNTY COUNCIL,FL,DUBLIN,Baile Átha Cliath,Leinster,IE061,Dublin,IE06,Eastern and Midland,IE0,Ireland,69960
c665104c-3989-4df1-aaa7-cd0488590025,13260411,LUCAN,CSO LEA-2022,c665104c-3989-4df1-aaa7-cd0488590025,LUCAN,13260411,N,2ae19629-14a1-13a3-e055-000000000001,SOUTH DUBLIN COUNTY COUNCIL,SD,DUBLIN,Baile Átha Cliath,Leinster,IE061,Dublin,IE06,Eastern and Midland,IE0,Ireland,55785
2ae19629-3f0c-13a3-e055-000000000001,13120422,LIMERICK CITY EAST,CSO LEA-2022,2ae19629-3f0c-13a3-e055-000000000001,LIMERICK CITY EAST,13120422,Y,2ae19629-148f-13a3-e055-000000000001,LIMERICK CITY AND COUNTY COUNCIL,LK,LIMERICK,Luimneach,Munster,IE051,Mid-West,IE05,Southern,IE0,Ireland,39653
2ae19629-3f76-13a3-e055-000000000001,1390402,PILTOWN,CSO LEA-2022,2ae19629-3f76-13a3-e055-000000000001,PILTOWN,1390402,Y,2ae19629-14a8-13a3-e055-000000000001,KILKENNY COUNTY COUNCIL,KK,KILKENNY,Cill Chainnigh,Leinster,IE052,South-East,IE05,Southern,IE0,Ireland,22826
2ae19629-3f06-13a3-e055-000000000001,13110402,CARRICK-ON-SHANNON,CSO LEA-2022,2ae19629-3f06-13a3-e055-000000000001,CARRICK-ON-SHANNON,13110402,Y,2ae19629-148e-13a3-e055-000000000001,LEITRIM COUNTY COUNCIL,LM,LEITRIM,Liatroim,Connacht,IE041,Border,IE04,Northern and Western,IE0,Ireland,12634
2ae19629-3f2d-13a3-e055-000000000001,13210401,ROSCREA-TEMPLEMORE,CSO LEA-2022,2ae19629-3f2d-13a3-e055-000000000001,ROSCREA-TEMPLEMORE,13210401,Y,2ae19629-1499-13a3-e055-000000000001,TIPPERARY COUNTY COUNCIL,TY,TIPPERARY,Tiobraid Árann,Munster,IE051,Mid-West,IE05,Southern,IE0,Ireland,17310
2ae19629-3f6d-13a3-e055-000000000001,1370402,KILLARNEY,CSO LEA-2022,2ae19629-3f6d-13a3-e055-000000000001,KILLARNEY,1370402,Y,2ae19629-14a6-13a3-e055-000000000001,KERRY COUNTY COUNCIL,KY,KERRY,Ciarraí,Munster,IE053,South-West,IE05,Southern,IE0,Ireland,31086
2ae19629-3ef4-13a3-e055-662310000001,13210405,NEWPORT,CSO LEA-2022,2ae19629-3ef4-13a3-e055-662310000001,NEWPORT,13210405,Y,2ae19629-1499-13a3-e055-000000000001,TIPPERARY COUNTY COUNCIL,TY,TIPPERARY,Tiobraid Árann,Munster,IE051,Mid-West,IE05,Southern,IE0,Ireland,17525
2ae19629-3f33-13a3-e055-000000000001,13220420,TRAMORE-WATERFORD CITY WEST,CSO LEA-2022,2ae19629-3f33-13a3-e055-000000000001,TRAMORE-WATERFORD CITY WEST,13220420,Y,2ae19629-149a-13a3-e055-000000000001,WATERFORD CITY AND COUNTY COUNCIL,WD,WATERFORD,Port Láirge,Munster,IE052,South-East,IE05,Southern,IE0,Ireland,24803
2ae19629-3f15-13a3-e055-000000000001,13150401,CLAREMORRIS,CSO LEA-2022,2ae19629-3f15-13a3-e055-000000000001,CLAREMORRIS,13150401,Y,2ae19629-1493-13a3-e055-000000000001,MAYO COUNTY COUNCIL,MO,MAYO,Maigh Eo,Connacht,IE042,West,IE04,Northern and Western,IE0,Ireland,29336
220a3c1c-5611-4729-9f86-37b2fb10bd19,13160402,ASHBOURNE,CSO LEA-2022,220a3c1c-5611-4729-9f86-37b2fb10bd19,ASHBOURNE,13160402,N,2ae19629-1494-13a3-e055-000000000001,MEATH COUNTY COUNCIL,MH,MEATH,An Mhí,Leinster,IE062,Mid-East,IE06,Eastern and Midland,IE0,Ireland,33516
873195fc-2a79-408b-a643-b0c5b898b4d4,13240403,ROSSLARE,CSO LEA-2022,873195fc-2a79-408b-a643-b0c5b898b4d4,ROSSLARE,13240403,N,2ae19629-149c-13a3-e055-000000000001,WEXFORD COUNTY COUNCIL,WX,WEXFORD,Loch Garman,Leinster,IE052,South-East,IE05,Southern,IE0,Ireland,23573
