County,Population
Carlow,61968
Cavan,81704
Clare,127938
Cork,584156
Donegal,167084
Dublin,1458594
Galway,276451
Kerry,156458
Kildare,247774
Kilkenny,104160
Laois,91477
Leitrim,35910
Limerick,209536
Longford,46751
Louth,139703
Mayo,137231
Meath,220826
Monaghan,65048
Offaly,83054
Roscommon,69995
Sligo,70198
Tipperary,167661
Waterford,127363
Westmeath,96721
Wexford,163527
Wicklow,155485
